threads,time
1,0.323411
2,0.20698
3,0.210959
4,0.189435
5,0.198325
6,0.195655
7,0.182229
8,0.18533
9,0.173067
10,0.240936
11,0.29976
12,0.36938
13,0.215769
14,0.257143
15,0.354221
16,0.367658
17,0.402542
18,0.346419
19,0.323696
20,0.413759
21,0.386774
22,0.217826
23,0.324197
24,0.335243
25,0.364774
26,0.28979
27,0.225105
28,0.234322
29,0.249849
30,0.358031
31,0.237313
32,0.264392
33,0.248128
34,0.319395
35,0.315587
36,0.261664
37,0.266777
38,0.409157
39,0.203507
40,0.327515
41,0.406559
42,0.263327
43,0.265023
44,0.336313
45,0.307317
46,0.382017
47,0.357196
48,0.357723
49,0.313957
50,0.276922
51,0.34622
52,0.479471
53,0.358412
54,0.2584
55,0.300195
56,0.282859
57,0.648405
58,0.34043
59,0.470446
60,0.353014
61,0.299394
62,0.267613
63,0.295428
64,0.300373
65,0.459988
66,0.349401
67,0.34325
68,0.316466
69,0.364074
70,0.38258
71,0.339808
72,0.353866
73,0.296314
74,0.302059
75,0.290995
76,0.247936
77,0.325869
78,0.381251
79,0.515261
80,0.267243
81,0.289158
82,0.346182
83,0.442119
84,0.389319
85,0.310513
86,0.349443
87,0.359284
88,0.60418
89,0.761642
90,0.266641
91,0.437449
92,0.536281
93,0.588097
94,0.390029
95,0.576257
96,0.443043
97,0.394497
98,0.469584
99,0.39564
